"date","bea_ea_code","bea_ea_name","gdp2018","cases","deaths","pop10"
2020-02-28,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-28,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,13,0,517110
2020-02-28,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-28,131,"Portland-Vancouver-Beaverton, OR-WA",49680871,1,0,529710
2020-02-28,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,3,0,1418788
2020-02-28,142,"Salt Lake City-Ogden-Clearfield, UT",92409828,1,0,1029655
2020-02-28,144,"San Antonio, TX",109073496,11,0,1714773
2020-02-28,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-28,146,"San Jose-San Francisco-Oakland, CA",611615883,21,0,4007615
2020-02-28,152,"Seattle-Tacoma-Olympia, WA",347227644,3,0,2644584
2020-02-28,157,"Spokane, WA",26482714,4,0,471221
2020-02-29,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-29,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,3,0,5194675
2020-02-29,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-29,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-29,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,13,0,517110
2020-02-29,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-29,131,"Portland-Vancouver-Beaverton, OR-WA",49680871,1,0,529710
2020-02-29,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,3,0,1418788
2020-02-29,142,"Salt Lake City-Ogden-Clearfield, UT",92409828,1,0,1029655
2020-02-29,144,"San Antonio, TX",109073496,11,0,1714773
2020-02-29,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-29,146,"San Jose-San Francisco-Oakland, CA",611615883,22,0,4007615
2020-02-29,152,"Seattle-Tacoma-Olympia, WA",347227644,6,1,2644584
2020-02-29,157,"Spokane, WA",26482714,4,0,471221
2020-03-01,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-03-01,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,3,0,5194675
2020-03-01,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-03-01,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-03-01,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,13,0,517110
2020-03-01,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-03-01,131,"Portland-Vancouver-Beaverton, OR-WA",49680871,2,0,529710
2020-03-01,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,3,0,1418788
2020-03-01,142,"Salt Lake City-Ogden-Clearfield, UT",92409828,1,0,1029655
2020-03-01,144,"San Antonio, TX",109073496,11,0,1714773
2020-03-01,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-03-01,146,"San Jose-San Francisco-Oakland, CA",756109974,27,0,5517886
2020-03-01,148,"Sarasota-Bradenton-Venice, FL",14167026,1,0,322833
2020-03-01,152,"Seattle-Tacoma-Olympia, WA",347227644,13,3,2644584
2020-03-01,157,"Spokane, WA",26482714,4,0,471221
2020-03-01,164,"Tampa-St. Petersburg-Clearwater, FL",89665469,1,0,1229226
2020-03-02,11,"Atlanta-Sandy Springs-Gainesville, GA-AL",167756496,2,0,920581
2020-03-02,22,"Boston-Worcester-Manchester, MA-NH",196384823,3,0,1481991
2020-03-02,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,4,0,5194675
2020-03-02,86,"Kennewick-Richland-Pasco, WA",3360102,1,0,58781
2020-03-02,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-03-02,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-03-02,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,13,0,517110
2020-03-02,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-03-02,131,"Portland-Vancouver-Beaverton, OR-WA",49680871,2,0,529710
2020-03-02,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",121377490,4,0,1767220
